,Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Periodo,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Banda ancha fija,Dial up,Provincia,Partido,Localidad,4G,3G,TELEFONIAFIJA,SATELITAL
0,2022.0,3.0,1.395.277,6.031.970,2.871.541,557.11,235.23,11.091.128,Jul-Sept 2022,61.93807968189137,240.1491454213153,5.049.640,859.413,967.508,1.250.366,3.500.882,253.3128738792629,7.842.778,19.869249324163928,BUENOS AIRES,La Capital,San Enrique,SI,SI,SI,SI
1,2022.0,2.0,1.468.333,5.979.214,2.723.285,556.243,231.609,10.958.684,Abr-Jun 2022,55.4718610265065,365.8390308363758,5.049.640,859.413,967.508,1.250.366,3.500.882,248.0011496269811,7.842.778,25.870583533547876,BUENOS AIRES,La Capital,San Enrique,SI,SI,SI,SI
2,2022.0,1.0,1.533.240,6.073.426,2.219.533,545.814,251.996,10.624.009,Ene-Mar 2022,-6.48138366864449,354.01296298394743,5.049.640,859.413,967.508,1.250.366,3.500.882,38.90932353938136,7.842.778,33.12511643899208,BUENOS AIRES,La Capital,San Enrique,SI,SI,SI,SI
3,2021.0,4.0,1.657.615,5.984.240,2.072.236,523.107,252.596,10.489.794,Oct-Dic 2021,9.898890064932083,15.85169889744597,5.049.640,859.413,967.508,1.250.366,3.500.882,257.0162176028736,7.842.778,32.86060720400994,BUENOS AIRES,La Capital,San Enrique,SI,SI,SI,SI
4,2021.0,3.0,1.950.631,5.826.257,1.566.048,492.415,250.19,10.085.541,Jul-Sept 2021,22.066416878450667,236.2895238900725,5.049.640,859.413,967.508,1.250.366,3.500.882,331.13153478370924,7.842.778,10.491575396198481,BUENOS AIRES,La Capital,San Enrique,SI,SI,SI,SI
5,2021.0,2.0,2.018.587,5.641.731,1.472.246,476.968,253.552,9.863.084,Abr-Jun 2021,58.416970706312945,231.93958335004737,5.049.640,859.413,967.508,1.250.366,3.500.882,130.02749867249824,7.842.778,36.80410397849286,BUENOS AIRES,La Capital,San Enrique,SI,SI,SI,SI
6,2021.0,1.0,2.175.211,5.424.782,1.362.976,434.548,250.455,9.647.972,Ene-Mar 2021,39.3385871793694,146.0416077700558,5.049.640,859.413,967.508,1.250.366,3.500.882,73.79675141709154,7.842.778,17.157357213402175,BUENOS AIRES,La Capital,San Enrique,SI,SI,SI,SI
7,2020.0,4.0,2.213.949,5.371.824,1.311.199,421.554,253.036,9.571.562,Oct-Dic 2020,75.05060666639491,182.86355012936588,5.049.640,859.413,967.508,1.250.366,3.500.882,197.91072301435895,7.842.778,20.647472318196694,BUENOS AIRES,La Capital,San Enrique,SI,SI,SI,SI
8,2020.0,3.0,2.263.889,5.259.351,1.170.879,413.259,248.821,9.356.199,Jul-Sept 2020,-0.23681607107623392,344.5432151005525,5.049.640,859.413,967.508,1.250.366,3.500.882,82.07697274085962,7.842.778,2.2800453564830185,BUENOS AIRES,La Capital,San Enrique,SI,SI,SI,SI
9,2020.0,2.0,2.295.533,5.005.115,1.106.725,376.667,247.016,9.031.056,Abr-Jun 2020,74.82089010914096,355.7849482295102,5.049.640,859.413,967.508,1.250.366,3.500.882,362.20098062724264,7.842.778,20.923582231233414,BUENOS AIRES,La Capital,San Enrique,SI,SI,SI,SI
10,2020.0,1.0,2.299.457,4.903.674,1.047.817,352.333,209.145,8.812.426,Ene-Mar 2020,50.33706975169902,527.3621483501851,5.049.640,859.413,967.508,1.250.366,3.500.882,258.3417410931801,7.842.778,8.002593075935694,BUENOS AIRES,La Capital,San Enrique,SI,SI,SI,SI
